"Age","rectal_temperature","pulse","respiratory_rate","temperature_of_extremities","peripheral_pulse","mucous_membranes","capillary_refill_time","pain","peristalsis","abdominal_distension","nasogastric_tube","nasogastric_reflux","nasogastric_reflux_PH","rectal_examination_-_feces","abdomen","packed_cell_volume","total_protein","abdominocentesis_appearance","abdomcentesis_total_protein","outcome","surgical_lesion"
1,37.6,68,32,3,2,3,1,4,2,4,2,2,6.5,1,5,47,7.2,1,3,"1",1
1,38.1,88,24,3,3,4,1,5,4,3,2,1,5,3,4,41,4.6,2,3,"2",1
1,38,108,60,2,3,4,1,4,3,3,2,2,5,3,4,46,24,3,3,"1",1
1,38.2,48,30,2,2,1,2,3,3,1,2,1,5,3,2,34,6.6,2,3,"1",2
1,39.3,100,51,4,4,6,1,2,4,1,1,3,2,3,4,66,13,3,2,"2",1
1,36.6,42,18,3,3,2,1,1,4,1,1,1,5,3,5,52,7.1,2,3,"2",1
9,38.8,124,36,3,1,2,1,2,3,4,1,1,5,4,4,50,7.6,3,3,"2",1
1,38,112,24,3,3,4,2,5,4,2,2,2,5,4,4,40,5.3,3,2.6,"1",2
1,38,80,30,3,3,3,1,4,4,4,2,2,5,4,5,43,70,2,3,"1",1
9,38.8,184,84,1,2,1,1,4,1,3,2,2,5,2,4,33,3.3,2,3,"2",1
1,37.5,72,30,2,1,1,1,2,1,1,1,1,5,1,4,35,65,2,2,"2",1
1,38.7,96,28,3,3,4,1,3,4,2,2,3,7.5,3,4,64,9,2,3,"2",1
1,37.5,52,12,1,1,1,1,2,3,2,2,1,5,3,5,36,61,1,1,"1",2
1,40.8,72,42,3,3,1,1,2,3,1,2,1,5,3,4,54,7.4,3,3,"2",1
1,38,40,25,2,1,1,1,4,3,2,1,1,5,4,4,37,69,2,3,"1",2
1,38.4,48,16,2,1,1,1,1,3,2,2,1,5,3,2,39,6.5,2,3,"1",2
9,38.6,88,28,2,2,3,1,3,3,2,2,2,5,3,4,35,5.9,2,3,"1",2
1,37.1,75,36,2,2,3,2,4,4,2,2,3,5,4,4,48,7.4,3,3.2,"2",1
1,38.3,44,21,3,1,2,1,3,3,3,2,1,5,1,5,44,6.5,2,4.4,"1",1
1,38,56,68,3,1,1,1,3,3,1,2,1,5,1,4,40,6,2,3,"2",1
1,38.6,68,20,2,1,3,1,3,3,2,1,1,5,1,5,38,6.5,1,3,"1",2
1,38.3,54,18,3,1,2,1,2,3,2,2,3,5.4,3,4,44,7.2,3,3,"1",2
1,38.2,42,20,2,2,1,1,3,3,2,2,2,5,3,4,47,60,2,3,"1",2
1,39.3,64,90,2,3,1,1,3,3,1,1,2,6.5,1,5,39,6.7,2,3,"1",1
1,37.5,60,50,3,3,1,1,3,3,2,2,2,3.5,3,4,35,6.5,2,3,"2",1
1,37.7,80,30,3,3,6,1,5,4,1,2,3,5,3,1,50,55,3,2,"1",1
1,38,100,30,3,3,4,2,5,4,4,3,3,5,4,4,52,6.6,2,3,"1",1
1,37.7,120,28,3,3,3,1,5,3,3,1,1,5,3,4,65,7,3,3,"2",1
1,38,76,30,2,3,3,1,3,4,4,2,2,5,3,5,46,24,2,3,"2",1
9,38.8,150,50,1,3,6,2,5,3,2,1,1,5,3,4,50,6.2,2,3,"2",1
1,38,36,16,3,1,1,1,4,2,2,3,3,2,3,4,37,75,2,1,"2",2
1,36.9,50,40,2,3,3,1,1,3,2,3,1,7,3,4,37.5,6.5,2,3,"1",2
1,37.8,40,16,1,1,1,1,1,1,1,2,2,5,1,1,37,6.8,2,3,"1",2
1,38.2,56,40,4,3,1,1,2,4,3,2,2,7.5,3,4,47,7.2,1,2.5,"1",2
1,38.6,48,12,2,2,1,1,1,1,2,2,2,5,3,4,36,67,2,3,"1",2
1,40,78,30,3,3,5,1,2,3,1,1,1,5,4,1,66,6.5,2,3,"2",1
1,38,70,16,3,4,5,2,2,3,2,2,1,5,4,5,60,7.5,2,3,"2",1
1,38.2,72,18,2,2,3,1,3,3,2,2,2,5,3,4,35,6.4,2,3,"1",1
